Hours_Studied,Attendance,Parental_Involvement,Access_to_Resources,Sleep_Hours,Previous_Scores,Motivation_Level,Tutoring_Sessions,Family_Income,Teacher_Quality,Physical_Activity,Parental_Education_Level,Distance_from_Home,Exam_Score,Gender_Female,Gender_Male,School_Type_Private,School_Type_Public,Extracurricular_Activities_No,Extracurricular_Activities_Yes,Internet_Access_No,Internet_Access_Yes,Learning_Disabilities_No,Learning_Disabilities_Yes,Peer_Influence_Negative,Peer_Influence_Neutral,Peer_Influence_Positive
23,84,1,3,7,73,1,0,1,2,3,1,1,67,False,True,False,True,True,False,False,True,True,False,False,False,True
19,64,1,2,8,59,1,2,2,2,4,2,2,61,True,False,False,True,True,False,False,True,True,False,True,False,False
24,98,2,2,7,91,2,2,2,2,4,3,1,74,False,True,False,True,False,True,False,True,True,False,False,True,False
29,89,1,2,8,98,2,1,2,2,4,1,2,71,False,True,False,True,False,True,False,True,True,False,True,False,False
19,92,2,2,6,65,2,3,2,3,4,2,1,70,True,False,False,True,False,True,False,True,True,False,False,True,False
19,88,2,2,8,89,2,3,2,2,3,3,1,71,False,True,False,True,False,True,False,True,True,False,False,False,True
29,84,2,1,7,68,1,1,1,2,2,1,2,67,False,True,True,False,False,True,False,True,True,False,False,True,False
25,78,1,3,6,50,2,1,3,3,2,1,3,66,False,True,False,True,False,True,False,True,True,False,True,False,False
17,94,2,3,6,80,3,0,2,1,1,2,1,69,False,True,True,False,True,False,False,True,True,False,False,True,False
23,98,2,2,8,71,2,0,3,3,5,1,2,72,False,True,False,True,False,True,False,True,True,False,False,False,True
17,80,1,3,8,88,2,4,2,3,4,2,2,68,False,True,True,False,True,False,True,False,True,False,False,True,False
17,97,2,3,6,87,1,2,1,3,2,1,1,71,False,True,True,False,False,True,False,True,True,False,False,True,False
21,83,2,2,8,97,1,2,2,2,4,1,1,70,False,True,False,True,False,True,False,True,True,False,False,False,True
9,82,2,2,8,72,2,2,2,2,3,3,1,66,False,True,True,False,False,True,False,True,True,False,False,False,True
10,78,2,3,8,74,2,1,1,2,4,3,1,65,False,True,True,False,False,True,False,True,True,False,False,True,False
17,68,2,2,8,70,2,2,2,2,4,1,1,64,True,False,True,False,True,False,False,True,True,False,False,False,True
14,60,2,1,10,65,1,0,3,2,3,2,1,60,False,True,True,False,False,True,False,True,True,False,False,False,True
22,70,1,2,6,82,2,1,1,3,3,1,1,65,True,False,False,True,False,True,False,True,True,False,False,True,False
15,80,2,2,9,91,1,3,1,2,2,2,2,67,True,False,False,True,False,True,False,True,True,False,False,False,True
12,75,2,3,7,58,2,3,2,2,4,2,1,66,False,True,True,False,False,True,False,True,True,False,False,False,True
29,78,2,2,5,99,3,0,3,2,1,1,2,69,True,False,False,True,True,False,False,True,True,False,True,False,False
19,99,2,3,6,84,2,1,2,3,3,1,1,72,False,True,False,True,True,False,False,True,True,False,False,True,False
20,74,2,3,8,89,1,1,2,2,2,2,2,66,True,False,False,True,True,False,False,True,True,False,True,False,False
11,78,3,2,8,100,3,1,1,2,3,1,2,66,False,True,False,True,False,True,False,True,True,False,False,True,False
17,65,1,3,5,75,2,2,1,2,3,1,1,63,True,False,False,True,False,True,False,True,True,False,False,False,True
21,62,3,1,6,54,3,0,3,3,3,3,3,64,False,True,False,True,False,True,False,True,True,False,False,False,True
13,91,1,2,6,90,2,1,3,2,2,1,2,65,True,False,False,True,True,False,False,True,False,True,True,False,False
22,83,3,3,6,94,2,0,3,2,2,2,2,71,False,True,False,True,False,True,False,True,True,False,False,True,False
16,90,2,2,4,58,2,1,1,2,3,1,2,66,True,False,False,True,True,False,False,True,True,False,False,True,False
18,66,3,3,4,51,1,2,1,2,2,2,1,64,False,True,True,False,True,False,False,True,True,False,False,True,False
16,83,1,2,6,57,2,0,3,1,4,1,1,63,True,False,False,True,True,False,False,True,False,True,False,False,True
31,70,2,3,7,66,2,1,3,2,3,2,1,69,False,True,False,True,False,True,False,True,True,False,True,False,False
20,69,2,2,8,96,2,2,2,3,3,1,1,67,False,True,False,True,False,True,False,True,True,False,False,False,True
14,60,3,2,5,50,2,2,2,2,3,2,1,61,True,False,False,True,True,False,False,True,True,False,False,True,False
25,65,3,2,5,90,2,2,2,2,3,2,2,68,True,False,False,True,True,False,False,True,True,False,False,False,True
13,72,1,2,6,93,1,1,1,2,3,1,1,61,False,True,False,True,True,False,False,True,True,False,True,False,False
21,65,2,1,7,91,1,2,2,3,3,1,3,64,True,False,False,True,False,True,False,True,True,False,False,False,True
8,99,2,2,9,54,1,2,1,2,5,3,1,67,True,False,False,True,True,False,False,True,True,False,False,True,False
12,72,1,2,8,84,2,1,1,2,5,1,1,63,True,False,False,True,False,True,False,True,True,False,False,False,True
21,65,1,2,6,98,1,1,2,3,4,1,1,64,False,True,False,True,False,True,False,True,True,False,True,False,False
24,68,3,2,8,56,1,3,3,3,1,2,1,67,False,True,False,True,True,False,False,True,True,False,False,True,False
21,84,2,2,6,52,1,1,2,3,2,2,3,65,True,False,False,True,False,True,False,True,False,True,False,True,False
19,63,1,3,7,94,2,1,2,2,3,1,2,64,False,True,True,False,True,False,False,True,True,False,False,False,True
18,94,2,3,7,82,2,3,2,2,2,2,1,70,False,True,True,False,False,True,False,True,False,True,True,False,False
11,98,2,2,9,82,1,1,2,2,3,3,3,68,False,True,True,False,False,True,False,True,True,False,False,False,True
16,70,2,2,8,98,2,2,2,2,3,1,2,65,False,True,False,True,False,True,False,True,True,False,False,False,True
17,78,2,2,6,88,2,1,2,3,3,2,1,68,True,False,True,False,False,True,False,True,True,False,False,False,True
26,61,2,1,6,70,2,2,1,2,3,1,2,64,True,False,False,True,False,True,False,True,True,False,False,False,True
22,86,1,2,7,72,1,3,1,3,2,1,2,68,False,True,False,True,False,True,False,True,True,False,False,False,True
9,77,2,2,5,57,2,2,2,3,3,1,1,63,False,True,False,True,True,False,False,True,True,False,False,True,False
22,71,1,2,7,65,1,1,2,1,4,2,2,64,False,True,False,True,False,True,False,True,True,False,False,False,True
18,68,3,2,7,72,2,0,2,2,3,2,1,64,False,True,False,True,True,False,False,True,True,False,False,True,False
16,86,1,2,8,63,2,2,2,2,4,1,1,67,False,True,False,True,False,True,False,True,True,False,False,False,True
24,77,3,1,8,96,2,0,2,2,3,1,1,67,True,False,False,True,True,False,False,True,True,False,False,True,False
26,67,2,3,7,51,1,2,3,3,4,3,3,66,True,False,True,False,False,True,False,True,False,True,False,True,False
26,88,2,3,5,79,2,1,1,3,4,2,2,72,False,True,True,False,False,True,False,True,True,False,False,False,True
15,83,2,3,5,89,1,1,2,3,2,1,1,65,True,False,False,True,True,False,True,False,False,True,False,True,False
18,94,2,2,6,87,3,1,2,2,4,1,1,71,False,True,False,True,False,True,False,True,True,False,False,False,True
22,65,3,1,8,82,2,2,2,3,1,3,1,66,True,False,False,True,True,False,False,True,True,False,False,False,True
26,91,2,1,8,71,2,0,1,2,3,1,2,68,False,True,True,False,False,True,False,True,True,False,False,True,False
17,87,2,2,7,96,2,1,3,2,5,3,1,70,True,False,False,True,True,False,False,True,True,False,True,False,False
19,65,2,2,10,66,1,0,1,2,3,1,2,62,False,True,False,True,False,True,False,True,True,False,False,False,True
13,88,1,3,9,88,3,2,1,3,4,3,3,68,False,True,True,False,False,True,False,True,True,False,True,False,False
13,78,2,3,9,96,3,2,1,2,3,2,2,67,False,True,False,True,False,True,False,True,True,False,False,True,False
25,98,1,3,8,56,2,0,2,3,3,3,1,71,False,True,True,False,False,True,True,False,True,False,False,True,False
28,66,2,3,8,97,2,0,2,2,2,1,1,68,False,True,False,True,False,True,False,True,True,False,False,True,False
20,86,2,2,8,89,2,1,1,2,3,3,1,69,False,True,False,True,False,True,False,True,True,False,True,False,False
26,75,1,3,4,81,3,3,2,3,2,1,2,70,False,True,True,False,False,True,False,True,True,False,False,False,True
22,98,2,3,5,69,1,1,1,3,4,1,2,69,True,False,False,True,True,False,True,False,True,False,True,False,False
16,73,2,2,7,95,2,1,1,2,4,2,1,65,False,True,False,True,True,False,False,True,True,False,True,False,False
22,98,2,1,7,52,2,3,2,2,3,2,1,70,True,False,False,True,False,True,True,False,True,False,False,False,True
29,96,2,1,7,72,2,1,1,2,3,1,2,71,False,True,False,True,False,True,False,True,True,False,False,False,True
20,71,2,2,7,88,2,1,1,1,4,2,1,65,True,False,False,True,False,True,False,True,True,False,False,True,False
29,92,1,2,4,91,2,2,2,2,1,3,1,72,True,False,False,True,True,False,False,True,True,False,True,False,False
4,100,3,3,8,60,3,0,2,3,4,2,2,69,False,True,True,False,False,True,False,True,True,False,False,False,True
25,70,2,2,7,52,2,1,2,2,3,3,1,66,True,False,False,True,True,False,False,True,True,False,False,False,True
21,77,1,2,7,90,2,4,2,2,3,3,2,68,False,True,True,False,False,True,False,True,True,False,False,True,False
18,81,3,1,8,71,2,0,2,2,3,1,2,65,True,False,False,True,False,True,False,True,True,False,False,True,False
21,72,2,2,5,57,2,1,3,2,5,2,2,64,False,True,False,True,False,True,False,True,False,True,False,True,False
8,61,2,2,7,54,2,1,3,2,3,2,1,60,False,True,False,True,False,True,False,True,True,False,False,False,True
19,69,2,3,7,82,3,1,1,2,2,1,1,65,False,True,False,True,False,True,False,True,True,False,True,False,False
22,71,3,2,6,79,3,1,1,1,3,1,1,66,False,True,False,True,True,False,False,True,True,False,False,False,True
29,78,3,3,4,93,1,5,2,3,3,2,1,74,False,True,False,True,False,True,False,True,True,False,False,True,False
17,67,2,2,5,52,3,2,2,2,3,1,3,62,True,False,True,False,False,True,False,True,True,False,True,False,False
15,95,2,2,7,93,2,2,1,2,4,2,2,70,False,True,False,True,True,False,False,True,True,False,False,False,True
17,88,2,3,7,94,1,0,2,2,3,1,1,69,False,True,False,True,False,True,False,True,True,False,False,True,False
25,63,2,3,7,72,2,3,2,3,4,2,3,67,False,True,True,False,False,True,False,True,True,False,True,False,False
22,86,1,1,6,54,2,2,2,2,0,1,2,64,False,True,False,True,True,False,False,True,True,False,False,True,False
17,86,2,3,5,97,3,3,3,2,3,2,1,71,False,True,False,True,True,False,False,True,True,False,False,True,False
23,98,2,1,7,54,1,0,2,2,3,2,1,68,True,False,False,True,False,True,False,True,True,False,True,False,False
21,60,3,2,7,80,2,0,2,3,4,2,1,64,False,True,False,True,True,False,False,True,False,True,False,True,False
26,70,2,1,8,75,2,1,2,1,4,1,3,63,True,False,True,False,False,True,False,True,False,True,False,True,False
16,97,2,2,6,92,1,0,3,2,4,2,1,71,False,True,True,False,False,True,False,True,True,False,False,False,True
18,97,3,2,4,75,1,0,1,2,3,1,2,69,False,True,False,True,False,True,False,True,True,False,False,False,True
11,91,2,2,6,94,2,3,2,2,3,2,2,68,False,True,False,True,True,False,False,True,True,False,False,True,False
22,64,1,2,7,98,1,1,2,2,3,1,1,62,False,True,False,True,True,False,True,False,True,False,True,False,False
22,81,2,2,7,77,1,2,2,2,3,3,3,68,True,False,False,True,False,True,False,True,True,False,False,False,True
20,69,3,3,6,73,2,2,1,2,3,1,3,66,False,True,True,False,False,True,False,True,True,False,False,False,True
19,67,1,2,5,92,3,0,2,2,3,2,1,64,False,True,False,True,True,False,False,True,True,False,False,False,True
12,92,2,2,4,92,3,2,2,3,3,1,2,67,False,True,False,True,True,False,False,True,False,True,False,True,False
17,65,2,3,8,66,2,1,3,3,4,3,2,65,True,False,False,True,False,True,False,True,False,True,False,True,False
18,79,2,2,7,79,2,0,1,3,3,2,3,65,False,True,True,False,False,True,False,True,True,False,False,True,False
15,98,3,2,6,58,3,0,1,3,3,2,1,69,False,True,False,True,True,False,False,True,True,False,False,False,True
19,67,2,2,5,82,3,1,1,1,3,1,1,63,False,True,True,False,True,False,False,True,True,False,True,False,False
22,99,2,1,6,92,1,3,2,2,4,3,2,72,False,True,False,True,False,True,False,True,True,False,True,False,False
21,82,2,3,7,66,3,3,1,2,3,2,1,69,True,False,False,True,False,True,False,True,False,True,False,False,True
22,67,2,2,7,72,3,3,1,3,2,3,2,67,True,False,False,True,False,True,False,True,True,False,False,False,True
20,73,3,2,9,92,2,2,2,3,3,2,1,69,False,True,False,True,False,True,False,True,True,False,False,False,True
8,77,3,2,6,87,2,0,1,2,2,1,2,63,False,True,False,True,False,True,False,True,True,False,False,True,False
20,72,2,2,9,66,2,3,1,3,3,3,1,67,False,True,True,False,True,False,False,True,True,False,False,False,True
20,71,1,3,7,62,3,2,2,2,5,2,1,66,False,True,False,True,False,True,False,True,True,False,True,False,False
19,66,2,2,8,74,2,1,3,2,3,1,1,64,True,False,False,True,True,False,False,True,True,False,False,True,False
22,89,3,3,6,80,2,1,3,3,3,1,1,73,True,False,False,True,False,True,False,True,True,False,False,False,True
20,60,1,3,7,82,3,2,1,3,4,1,1,63,False,True,False,True,True,False,False,True,False,True,False,False,True
13,84,2,2,5,78,2,1,1,3,2,1,1,65,False,True,False,True,True,False,False,True,True,False,False,False,True
27,97,1,3,8,81,2,0,3,2,5,1,1,73,True,False,False,True,False,True,False,True,True,False,False,False,True
25,72,3,3,8,94,1,2,1,2,4,2,2,70,True,False,True,False,False,True,False,True,True,False,False,False,True
25,67,3,2,9,93,3,2,1,3,3,1,1,68,True,False,False,True,True,False,False,True,False,True,False,False,True
15,86,2,2,7,57,2,1,2,2,3,2,1,65,False,True,False,True,False,True,False,True,True,False,True,False,False
28,89,1,3,9,79,3,0,1,2,1,2,2,71,True,False,True,False,False,True,False,True,True,False,False,False,True
12,88,1,2,6,72,1,2,2,2,2,2,3,64,False,True,False,True,True,False,False,True,True,False,False,False,True
24,73,2,3,8,64,2,4,3,2,3,2,2,68,False,True,True,False,False,True,False,True,False,True,False,True,False
33,70,2,2,6,82,1,1,1,3,4,2,1,69,False,True,False,True,False,True,False,True,True,False,False,True,False
14,98,2,2,7,76,2,0,2,3,4,2,2,69,True,False,True,False,True,False,False,True,True,False,False,False,True
17,97,2,2,8,89,2,1,1,2,4,1,3,69,False,True,False,True,True,False,False,True,True,False,False,True,False
21,78,2,2,10,55,2,1,3,1,2,2,1,67,False,True,True,False,False,True,False,True,True,False,False,False,True
